UttNo,Utterance (EN),Final (FR),Intent,Entity name,Entity value
4,What name do I give you?,Comment dois-je vous appeler ?,ask_robot_name,,
48,"If we need to eat, what should we do?","Si nous devons manger, que devons-nous faire?",ask_meal_arrangements,,
23,"We have a consultation today, for my Mum.",Ma mère a une consultation aujourd'hui.,inform_arrival,,
70,Could I use a wheelchair? I'm worn out.,Pourrais-je utiliser un fauteuil roulant? Je suis épuisé.,ask_mobility_aid,,
82,Do you know if there's a lot of waiting time?,Est-ce que vous savez s'il y a beaucoup d'attente?,ask_wait_time,,
22,My husband is here to see Dr Gunson.,Mon mari vient voir le Dr. Gunson.,inform_arrival,PERSON/NAME,Dr Gunson
92,Can you tell me where the toilets are please?,Pouvez-vous me dire où sont les toilettes s'il vous plaît?,location-request,room,toilet
57,Could you let me know the breakfast cost,Pourriez-vous m'indiquer le prix du petit-déjeuner?,ask_meal_cost,meal,breakfast
29,Does the memory consultation last all day?,La consultation de mémoire dure toute la journée?,ask_appt_structure,,
64,Do you know when lunch is available?,Savez-vous quand le déjeuner est disponible?,ask_meal_times,meal,lunch
72,Can you lend me a walking frame for the visit?,Pouvez-vous me prêter un déambulateur pour la visite?,ask_mobility_aid,,
47,If my wife's here all day does she get fed?,"Si ma femme est là toute la journée, aura-t-elle a manger ?",ask_meal_arrangements,,
87,"But I can't stay in front of you like this, where's the waiting room?","Mais là je peux pas rester sur la devant vous comme ça, où est la pièce pour attendre?",location-request,room,waiting room
89,I'd like a coffee.,J'ai envie d'un café.,location-request,room,coffee machine
61,What time do we eat breakfast?,À quelle heure prend-on le petit-déjeuner?,ask_meal_times,meal,breakfast
74,When does the hospital cafe close?,Quand est-ce que la cafétariat ferme-t-elle ?,ask_opening_hours,place,cafe
38,Will this visit help me understand what's going on with my memory?,Cette visite m'aidera-t-elle à comprendre ce qui se passe avec ma mémoire?,ask_about_diagnosis,,
26,What documents should I show?,Quels papiers dois-je montrer?,ask_documents,,
8,hello I'm Nancie,"Bonjour, je m'appelle Nancie.",greet+introduce_self,PERSON/NAME,Nancie
20,We've come because we have an appointment actually. For a consultation.,On vient parce qu'on a rendez-vous en fait. Pour une consultation.,inform_arrival,,
